,Main Title,Sub Title,Author,Publisher,Book Cover,Designation,ISBN,Publication Year,Language,Quantity,Subject Area,Status,Name,C/O Date,,Return Date
SE81,"Virtual, Augmented and Mixed Reality",Designing and Developing Virtual and Augmented Environments,"Randall Shumaker, Lackey Stephanie",Springer,http://books.google.com/books/content?id=xBe6BQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9783319074573,2014,en,1,3D,Available,,,,
SE82,Metadata,,Jeffrey Pomerantz,MIT Press,http://books.google.com/books/content?id=NHr6CgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9780262528511,2015,en,1,MIS,Available,,,,
SE83,Mensch-Maschine-Interaktion,,"Andreas Butz, Antonio Krüger",Walter de Gruyter,http://books.google.com/books/content?id=PuQyLgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,SE,9783486716214,2014,de,1,Robotics,Available,,,,
SE84,Designing Visual Interfaces -,Communication Oriented Techniques,Kevin Mullet,Prentice Hall,http://books.google.com/books/content?id=LCYPAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,SE,133033899,1995,en,1,Web Design,Available,,,,
SE85,3D Math Primer for Graphics and Game Development,Second Edition,"Fletcher Dunn, Ian Parberry",,,,,,,,Computer Graphics/Computer Game Programming,Available,,,,
SE86,Head First Design Patterns,A Brain-Friendly Guide,"Eric Freeman, Elisabeth Robson, Bert Bates, Kathy Sierra","O'Reilly Media, Inc.",http://books.google.com/books/content?id=NXIrAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9780596007126,2004,en,1,Web Programming,Available,,,,
SE87,Python Crash Course,"A Hands-On, Project-Based Introduction to Programming",Eric Matthes,No Starch Press,http://books.google.com/books/content?id=RXoZCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781593276034,2016,en,1,Programming Languages,Available,,,,
SE87.1,Python Crash Course,"A Hands-On, Project-Based Introduction to Programming",Eric Matthes,No Starch Press,http://books.google.com/books/content?id=RXoZCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781593276034,2016,en,1,Programming Languages,Rented,Gianluca Corpino,17-Feb-2020,,1-Oct-2020
SE88,Continuous Delivery,"Reliable Software Releases through Build, Test, and Deployment Automation","Jez Humble, David Farley",Pearson Education,http://books.google.com/books/content?id=6ADDuzere-YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9780321601919,2011,en,1,Software Engineering,Available,,,,
SE89,Deep Learning with Python,,Francois Chollet,"Manning Publications, Co",http://books.google.com/books/content?id=dadfDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781617294433,2018,en,1,Programming Languages,Available,,,,
SE90,Site Reliability Engineering,How Google Runs Production Systems,"Betsy Beyer, Chris Jones, Jennifer Petoff, Niall Richard Murphy","O'Reilly Media, Inc.",http://books.google.com/books/content?id=_4rPCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9781491929124,2016,en,1,IT Project Management,Rented,Leo Kretschmar,4-Mar-2020,,31-Aug-2020
SE91,From Mathematics to Generic Programming,,"Alexander A. Stepanov, Daniel E. Rose",Addison-Wesley Professional,http://books.google.com/books/content?id=UqxYBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9780321942043,2015,en,1,Design Pattern Programming,Available,,,,
SE92,The Deep Learning Revolution,,Terrence J. Sejnowski,MIT Press,http://books.google.com/books/content?id=9xZxDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,9780262038034,2018,en,1,Artificial Intelligence ,Available,,,,
SE93,Beginner's Guide to Exploitation on ARM Volume I,,Billy Ellis,,https://pbs.twimg.com/media/DQOD40hWAAAvN0A.jpg,SE,----------------,2017,en,1,Hardware,Available,,,,
SE94,Beginner's Guide to Exploitation on ARM Volume II,,Billy Ellis,,https://zygosec.com/img/book2.png,SE,----------------,2018,en,1,Hardware,Available,,,,
SE95,Refactoring,Improving the Design of Existing Code,"Martin Fowler, Kent Beck",Addison-Wesley Professional,https://m.media-amazon.com/images/I/41LBzpPXCOL._AC_UL872_FMwebp_QL65_.jpg,SE,9780134757599,2019,en,1,Software Engineering,Missing,,,,
SE96,Artificial Intelligence - A Modern Approach,,"Stuart Russell, Peter Norvig",Pearson Education,http://books.google.com/books/content?id=XS9CjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,SE,9781292153964,2016,en,1,Artificial Intelligence ,Missing,,,,
